O*NET-SOC Code,Title,Alternate Titles,Job Zone,OCC_CODE
27-2012.00,Producers and Directors,"Broadcast News Producer, Digital Media Manager, Digital Media Producer, Film Maker, Film Producer, Independent Film Maker, Media Manager, Media Producer, Morning News Producer, News Producer, News Production Supervisor, Television News Producer (TV News Producer)",4,27-2012
27-2012.03,Media Programming Directors,"Media Coordinator, News Director",4,27-2012
27-2012.05,Media Technical Directors/Managers,"News Technical Director, Test Editing Director",4,27-2012
27-2041.00,Music Directors and Composers,Film Composer,4,27-2041
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,"Morning News Anchor, News Anchor, News Broadcaster, Television News Anchor (TV News Anchor)",4,27-3011
27-3023.00,"News Analysts, Reporters, and Journalists","Breaking News Reporter, Broadcast News Advisor, Film Critic, General Assignment Television News Reporter, Market News Reporter, Media Analyst, Morning News Anchor, News Analyst, News Anchor, News Commentator, News Correspondent, News Reporter, News Writer, Radio News Anchor, Radio News Writer, Television News Anchor (TV News Anchor), Television News Reporter",4,27-3023
27-3031.00,Public Relations Specialists,"Communication Specialist, Content Marketing Specialist, Marketing Communications Coordinator, Marketing Communications Specialist, Marketing Coordinator, Media Buyer, Media Planner, Media Relations Specialist, Media Specialist, Public Relations Consultant (PR Consultant), Public Relations Coordinator (PR Coordinator), Public Relations Counselor (PR Counselor), Public Relations Officer (PR Officer), Public Relations Representative (PR Rep), Public Relations Specialist (PR Specialist)",4,27-3031
27-3041.00,Editors,"Advertising Editor, News Editor",4,27-3041
27-3043.00,Writers and Authors,"Advertising Associate, Advertising Copywriter, Advertising Specialist, Advertising Writer, Marketing Copywriter, Marketing Writer",4,27-3043
27-3043.05,"Poets, Lyricists and Creative Writers",Film Writer,4,27-3043
27-4011.00,Audio and Video Technicians,"Media Technician, Video Production Assistant, Video Production Specialist",3,27-4011
27-4012.00,Broadcast Technicians,"Media Technician, News Gathering Technician, News Production Assistant, Video Production Assistant",3,27-4012
27-4014.00,Sound Engineering Technicians,"Film Recordist, Film Sound Coordinator, Film Sound Engineer",3,27-4014
27-4021.00,Photographers,"Advertising Photographer, News Photographer",3,27-4021
27-4031.00,"Camera Operators, Television, Video, and Film","Electronic News Gathering Camera Operator (ENG Camera Operator), News Camera Operator, News Camera Person, News Reel Cameraman, News Videographer, Television News Photographer",3,27-4031
27-4032.00,Film and Video Editors,"Digital Media Coordinator, Electronic News Gathering Editor (ENG Editor), Film Editor, News Editor, News Video Editor, News Videotape Editor, Television News Video Editor, Video Production Editor",4,27-4032
31-9099.01,Speech-Language Pathology Assistants,Communication Assistant,3,31-9099
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Advertising Material Distributors Supervisor,4,41-1012
41-3011.00,Advertising Sales Agents,"Advertising Account Representative, Advertising Agent, Advertising Assistant, Advertising Consultant, Advertising Coordinator, Advertising Representative, Advertising Sales Representative (Ad Sales Representative), Advertising Solicitor, Digital Advertising Sales Representative (Digital Advertising Sales Rep), Directory Advertising Sales Representative, Display Advertising Sales Representative, Field Marketing Representative, Marketing Representative, Outdoor Advertising Leasing Agent",4,41-3011
41-3021.00,Insurance Sales Agents,Field Marketing Representative,4,41-3021
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Field Marketing Representative,4,41-3031
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Communication Equipment Sales Representative, Field Marketing Representative, Marketing Representative",4,41-4011
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Field Marketing Representative,4,41-4012
41-9031.00,Sales Engineers,"Field Marketing Representative, Technical Marketing Engineer",4,41-9031
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,"Advertising Dispatch Clerks Supervisor, Classified Advertising Supervisor, Communication Center Coordinator, Film Vault Supervisor",3,43-1011
43-9031.00,Desktop Publishers,"Advertising Associate, Desktop Publishing Associate, Desktop Publishing Specialist, Digital Publishing Specialist, DTP Operator (Desktop Publishing Operator), Electronic Publishing Specialist, Publishing Specialist",3,43-9031
43-9081.00,Proofreaders and Copy Markers,News Copy Editor,4,43-9081
43-9111.00,Statistical Assistants,"Advertising Statistical Clerk, Data Editing Clerk",4,43-9111
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Broadcasting Equipment Mechanic,3,49-2021
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Communication Equipment Mechanic, Communication Equipment Repairer",3,49-2022
49-9061.00,Camera and Photographic Equipment Repairers,Photography Equipment Technician,3,49-9061
51-1011.00,First-Line Supervisors of Production and Operating Workers,"Film Processing Shift Supervisor, Film Processing Supervisor, Type Photography Supervisor",3,51-1011
51-5111.00,Prepress Technicians and Workers,"Advertising Layout Worker, Printing and Publishing Hand Etcher, Printing and Publishing Plate Finisher, Printing Film Stripper",3,51-5111
